yarn_code,rate_per_unit,rate_period,unit_of_measure
Y-GEN-1933,198.05,202404,KG
Y-GEN-1934,170.79,202403,KG
Y-GEN-1934,169.96,202404,KG
Y-GEN-1935,397.22,202403,KG
Y-GEN-1935,463.61,202404,KG
Y-GEN-1936,152.77,202403,KG
Y-GEN-1936,171.33,202404,KG
Y-GEN-1937,433.76,202403,KG
Y-GEN-1937,416.26,202404,KG
Y-GEN-1938,148.83,202403,KG
Y-GEN-1938,150.36,202404,KG
Y-GEN-1939,135.14,202403,KG
Y-GEN-1939,144.67,202404,KG
Y-GEN-1940,359.48,202403,KG
Y-GEN-1940,448.84,202404,KG
Y-GEN-1941,348.01,202403,KG
Y-GEN-1941,385.76,202404,KG
Y-GEN-1942,334.6,202403,KG
Y-GEN-1942,349.59,202404,KG
Y-GEN-1943,300.65,202403,KG
Y-GEN-1943,348.38,202404,KG
Y-GEN-1944,201.55,202403,KG
Y-GEN-1944,241.16,202404,KG
Y-GEN-1945,158.01,202403,KG
Y-GEN-1945,181.27,202404,KG
Y-GEN-1946,308.76,202403,KG
Y-GEN-1946,352.83,202404,KG
Y-GEN-1947,239.62,202403,KG
Y-GEN-1947,230.47,202404,KG
Y-GEN-1948,165.64,202403,KG
Y-GEN-1948,176.15,202404,KG
Y-GEN-1949,250.88,202403,KG
Y-GEN-1949,260.65,202404,KG
Y-GEN-1950,364.76,202403,KG
Y-GEN-1950,395.84,202404,KG
Y-GEN-1951,328.67,202403,KG
Y-GEN-1951,357.83,202404,KG
Y-GEN-1952,417.66,202403,KG
Y-GEN-1952,529.99,202404,KG
Y-GEN-1953,409.69,202403,KG
Y-GEN-1953,390.75,202404,KG
Y-GEN-1954,288.56,202403,KG
Y-GEN-1954,335.78,202404,KG
Y-GEN-1955,432.67,202403,KG
Y-GEN-1955,532.68,202404,KG
Y-GEN-1956,142.81,202403,KG
Y-GEN-1956,160.64,202404,KG
Y-GEN-1957,178.93,202403,KG
Y-GEN-1957,228.45,202404,KG
Y-GEN-1958,121.03,202403,KG
Y-GEN-1958,147.69,202404,KG
Y-GEN-1959,351.98,202403,KG
Y-GEN-1959,445.93,202404,KG
Y-GEN-1960,256.29,202403,KG
Y-GEN-1960,257.15,202404,KG
Y-GEN-1961,297.12,202403,KG
Y-GEN-1961,300.61,202404,KG
Y-GEN-1962,373430.0,202403,TO
Y-GEN-1962,397720.0,202404,TO
Y-GEN-1963,234.07,202403,KG
Y-GEN-1963,264.07,202404,KG
Y-GEN-1964,225.54,202403,KG
Y-GEN-1964,229.31,202404,KG
Y-GEN-1965,162.66,202403,KG
Y-GEN-1965,172.52,202404,KG
Y-GEN-1966,207.7,202403,KG
Y-GEN-1966,247.63,202404,KG
Y-GEN-1967,170.77,202403,KG
Y-GEN-1967,165.88,202404,KG
Y-GEN-1968,207.4,202403,KG
Y-GEN-1968,235.04,202404,KG
Y-GEN-1969,217.52,202403,KG
Y-GEN-1969,281.13,202404,KG
Y-GEN-1970,354.9,202403,KG
Y-GEN-1970,356.59,202404,KG
Y-GEN-1971,375.46,202403,KG
Y-GEN-1971,391.87,202404,KG
Y-GEN-1972,388.94,202403,KG
Y-GEN-1972,411.38,202404,KG
Y-GEN-1973,449.09,202403,KG
Y-GEN-1973,505.15,202404,KG
Y-GEN-1974,408.94,202403,KG
Y-GEN-1974,455.52,202404,KG
Y-GEN-1975,267.82,202403,KG
Y-GEN-1975,326.41,202404,KG
Y-GEN-1976,383.48,202403,KG
Y-GEN-1976,485.42,202404,KG
Y-GEN-1977,401.59,202403,KG
Y-GEN-1977,514.77,202404,KG
Y-GEN-1978,392.54,202403,KG
Y-GEN-1978,385.0,202404,KG
Y-GEN-1979,332.16,202403,KG
Y-GEN-1979,319.45,202404,KG
Y-GEN-1980,448.41,202403,KG
Y-GEN-1980,547.46,202404,KG
Y-GEN-1981,375.24,202403,KG
Y-GEN-1981,441.11,202404,KG
Y-GEN-1982,405.2,202403,KG
Y-GEN-1982,479.12,202404,KG
Y-GEN-1983,193.26,202403,KG
Y-GEN-1983,241.86,202404,KG
Y-GEN-1984,131.91,202403,KG
Y-GEN-1984,138.01,202404,KG
Y-GEN-1985,294.51,202403,KG
Y-GEN-1985,315.18,202404,KG
Y-GEN-1986,442.46,202403,KG
Y-GEN-1986,491.32,202404,KG
Y-GEN-1987,176.79,202403,KG
Y-GEN-1987,170.74,202404,KG
Y-GEN-1988,424.41,202403,KG
Y-GEN-1988,550.87,202404,KG
Y-GEN-1989,337.42,202403,KG
Y-GEN-1989,360.02,202404,KG
Y-GEN-1990,441.33,202403,KG
Y-GEN-1990,565.54,202404,KG
Y-GEN-1991,224.73,202403,KG
Y-GEN-1991,242.29,202404,KG
Y-GEN-1992,331.35,202403,KG
Y-GEN-1992,426.98,202404,KG
Y-GEN-1993,198.19,202403,KG
Y-GEN-1993,201.44,202404,KG
Y-GEN-1994,244.05,202403,KG
Y-GEN-1994,235.99,202404,KG
Y-GEN-1995,447.19,202403,KG
Y-GEN-1995,548.7,202404,KG
Y-GEN-1996,274.38,202403,KG
Y-GEN-1996,330.83,202404,KG
Y-GEN-1997,408.57,202403,KG
Y-GEN-1997,488.5,202404,KG
Y-GEN-1998,360.31,202403,KG
Y-GEN-1998,421.77,202404,KG
Y-GEN-1999,437610.0,202403,TO
Y-GEN-1999,528390.0,202404,TO
Y-GEN-2000,442.81,202403,KG
Y-GEN-2000,457.1,202404,KG
Y-GEN-2001,215.96,202403,KG
Y-GEN-2001,207.19,202404,KG
Y-GEN-2002,338.9,202403,KG
Y-GEN-2002,411.09,202404,KG
Y-GEN-2003,370.42,202403,KG
Y-GEN-2003,397.21,202404,KG
Y-GEN-2004,412.49,202403,KG
Y-GEN-2004,491.85,202404,KG
Y-GEN-2005,151.38,202403,KG
Y-GEN-2005,151.06,202404,KG
Y-GEN-2006,123.47,202403,KG
Y-GEN-2006,150.94,202404,KG
Y-GEN-2007,288.65,202403,KG
Y-GEN-2007,362.53,202404,KG
Y-GEN-2008,442.01,202403,KG
Y-GEN-2008,453.74,202404,KG
Y-GEN-2009,355.11,202403,KG
Y-GEN-2009,444.9,202404,KG
Y-GEN-2010,228.65,202403,KG
Y-GEN-2010,222.42,202404,KG
Y-GEN-2011,374.13,202403,KG
Y-GEN-2011,438.96,202404,KG
Y-GEN-2012,212.29,202403,KG
Y-GEN-2012,249.98,202404,KG
Y-GEN-2013,390.57,202403,KG
Y-GEN-2013,419.33,202404,KG
Y-GEN-2014,359.09,202403,KG
Y-GEN-2014,387.66,202404,KG
Y-GEN-2015,396.68,202403,KG
Y-GEN-2015,397.32,202404,KG
Y-GEN-2016,411.73,202403,KG
Y-GEN-2016,522.78,202404,KG
Y-GEN-2017,263.64,202403,KG
Y-GEN-2017,313.2,202404,KG
Y-GEN-2018,400.85,202403,KG
Y-GEN-2018,515.72,202404,KG
Y-GEN-2019,447.36,202403,KG
Y-GEN-2019,454.69,202404,KG
Y-GEN-2020,370.04,202403,KG
Y-GEN-2020,480.13,202404,KG
Y-GEN-2021,301.77,202403,KG
Y-GEN-2021,333.72,202404,KG
Y-GEN-2022,176.31,202403,KG
Y-GEN-2022,172.08,202404,KG
Y-GEN-2023,184.82,202403,KG
Y-GEN-2023,187.56,202404,KG
Y-GEN-2024,283.22,202403,KG
Y-GEN-2024,287.55,202404,KG
Y-GEN-2025,378.21,202403,KG
Y-GEN-2025,399.15,202404,KG
Y-GEN-2026,300.61,202403,KG
Y-GEN-2026,286.56,202404,KG
Y-GEN-2027,128.19,202403,KG
Y-GEN-2027,134.05,202404,KG
Y-GEN-2028,191.54,202403,KG
Y-GEN-2028,201.33,202404,KG
Y-GEN-2029,249.76,202403,KG
Y-GEN-2029,318.57,202404,KG
Y-GEN-2030,390.73,202403,KG
Y-GEN-2030,439.57,202404,KG
Y-GEN-2031,359.32,202403,KG
Y-GEN-2031,442.1,202404,KG
Y-GEN-2032,398.36,202403,KG
Y-GEN-2032,448.19,202404,KG
Y-GEN-2033,282.86,202403,KG
Y-GEN-2033,316.65,202404,KG
Y-GEN-2034,211.1,202403,KG
Y-GEN-2034,218.45,202404,KG
Y-GEN-2035,206.59,202403,KG
Y-GEN-2035,228.67,202404,KG
Y-GEN-2036,345400.0,202403,TO
Y-GEN-2036,360240.0,202404,TO
Y-GEN-2037,423.64,202403,KG
Y-GEN-2037,520.0,202404,KG
Y-GEN-2038,206.93,202403,KG
Y-GEN-2038,213.94,202404,KG
Y-GEN-2039,391.85,202403,KG
Y-GEN-2039,508.68,202404,KG
Y-GEN-2040,420.21,202403,KG
Y-GEN-2040,420.63,202404,KG
Y-GEN-2041,302.36,202403,KG
Y-GEN-2041,303.16,202404,KG
Y-GEN-2042,343.95,202403,KG
Y-GEN-2042,395.52,202404,KG
Y-GEN-2043,221.42,202403,KG
Y-GEN-2043,253.55,202404,KG
Y-GEN-2044,304.43,202403,KG
Y-GEN-2044,368.81,202404,KG
Y-GEN-2045,437.07,202403,KG
Y-GEN-2045,468.66,202404,KG
Y-GEN-2046,247.75,202403,KG
Y-GEN-2046,267.31,202404,KG
Y-GEN-2047,301.93,202403,KG
Y-GEN-2047,332.66,202404,KG
Y-GEN-2048,410.41,202403,KG
Y-GEN-2048,480.58,202404,KG
Y-GEN-2049,429.99,202403,KG
Y-GEN-2049,510.63,202404,KG
Y-GEN-2050,310.73,202403,KG
Y-GEN-2050,398.99,202404,KG
Y-GEN-2051,438.52,202403,KG
Y-GEN-2051,560.29,202404,KG
Y-GEN-2052,121.02,202403,KG
Y-GEN-2052,148.88,202404,KG
Y-GEN-2053,344.61,202403,KG
Y-GEN-2053,425.91,202404,KG
Y-GEN-2054,150.78,202403,KG
Y-GEN-2054,165.51,202404,KG
Y-GEN-2055,192.52,202403,KG
Y-GEN-2055,234.62,202404,KG
Y-GEN-2056,333.8,202403,KG
Y-GEN-2056,363.17,202404,KG
Y-GEN-2057,190.29,202403,KG
Y-GEN-2057,187.97,202404,KG
Y-GEN-2058,180.67,202403,KG
Y-GEN-2058,225.46,202404,KG
Y-GEN-2059,365.67,202403,KG
Y-GEN-2059,450.11,202404,KG
Y-GEN-2060,211.27,202403,KG
Y-GEN-2060,257.09,202404,KG
Y-GEN-2061,247.61,202403,KG
Y-GEN-2061,260.14,202404,KG
Y-GEN-2062,226.33,202403,KG
Y-GEN-2062,283.22,202404,KG
Y-GEN-2063,411.19,202403,KG
Y-GEN-2063,445.81,202404,KG
Y-GEN-2064,339.14,202403,KG
Y-GEN-2064,361.82,202404,KG
Y-GEN-2065,350.35,202403,KG
Y-GEN-2065,334.21,202404,KG
Y-GEN-2066,339.21,202403,KG
Y-GEN-2066,380.91,202404,KG
Y-GEN-2067,333.54,202403,KG
Y-GEN-2067,349.52,202404,KG
Y-GEN-2068,362.1,202403,KG
Y-GEN-2068,354.07,202404,KG
Y-GEN-2069,418.05,202403,KG
Y-GEN-2069,504.0,202404,KG
Y-GEN-2070,311.97,202403,KG
Y-GEN-2070,308.59,202404,KG
Y-GEN-2071,368.61,202403,KG
Y-GEN-2071,409.57,202404,KG
Y-GEN-2072,194.49,202403,KG
Y-GEN-2072,232.87,202404,KG
Y-GEN-2073,395940.0,202403,TO
Y-GEN-2073,490430.0,202404,TO
Y-GEN-2074,385.75,202403,KG
Y-GEN-2074,470.14,202404,KG
Y-GEN-2075,222.06,202403,KG
Y-GEN-2075,259.51,202404,KG
Y-GEN-2076,144.67,202403,KG
Y-GEN-2076,165.63,202404,KG
Y-GEN-2077,347.15,202403,KG
Y-GEN-2077,349.94,202404,KG
Y-GEN-2078,225.71,202403,KG
Y-GEN-2078,236.33,202404,KG
Y-GEN-2079,330.25,202403,KG
Y-GEN-2079,339.5,202404,KG
Y-GEN-2080,428.36,202403,KG
Y-GEN-2080,462.14,202404,KG
Y-GEN-2081,409.61,202403,KG
Y-GEN-2081,439.51,202404,KG
Y-GEN-2082,324.18,202403,KG
Y-GEN-2082,317.31,202404,KG
Y-GEN-2083,289.04,202403,KG
Y-GEN-2083,305.66,202404,KG
Y-GEN-2084,316.8,202403,KG
Y-GEN-2084,338.77,202404,KG
Y-GEN-2085,123.89,202403,KG
Y-GEN-2085,123.79,202404,KG
Y-GEN-2086,361.1,202403,KG
Y-GEN-2086,384.66,202404,KG
Y-GEN-2087,364.29,202403,KG
Y-GEN-2087,440.27,202404,KG
Y-GEN-2088,338.53,202403,KG
Y-GEN-2088,388.21,202404,KG
Y-GEN-2089,264.73,202403,KG
Y-GEN-2089,286.33,202404,KG
Y-GEN-2090,148.16,202403,KG
Y-GEN-2090,160.46,202404,KG
Y-GEN-2091,224.12,202403,KG
Y-GEN-2091,213.34,202404,KG
Y-GEN-2092,416.74,202403,KG
Y-GEN-2092,472.04,202404,KG
Y-GEN-2093,157.28,202403,KG
Y-GEN-2093,182.2,202404,KG
Y-GEN-2094,399.11,202403,KG
Y-GEN-2094,440.79,202404,KG
Y-GEN-2095,319.71,202403,KG
Y-GEN-2095,316.87,202404,KG
Y-GEN-2096,242.49,202403,KG
Y-GEN-2096,254.02,202404,KG
Y-GEN-2097,369.19,202403,KG
Y-GEN-2097,354.59,202404,KG
Y-GEN-2098,219.72,202403,KG
Y-GEN-2098,247.53,202404,KG
Y-GEN-2099,442.14,202403,KG
Y-GEN-2099,565.08,202404,KG
Y-GEN-2100,438.16,202403,KG
Y-GEN-2100,422.98,202404,KG
Y-GEN-2101,339.07,202403,KG
Y-GEN-2101,424.76,202404,KG
Y-GEN-2102,171.19,202403,KG
Y-GEN-2102,211.7,202404,KG
Y-GEN-2103,360.38,202403,KG
Y-GEN-2103,360.53,202404,KG
Y-GEN-2104,204.14,202403,KG
Y-GEN-2104,195.05,202404,KG
Y-GEN-2105,382.58,202403,KG
Y-GEN-2105,467.55,202404,KG
Y-GEN-2106,198.37,202403,KG
Y-GEN-2106,197.57,202404,KG
Y-GEN-2107,398.09,202403,KG
Y-GEN-2107,415.67,202404,KG
Y-GEN-2108,318.68,202403,KG
Y-GEN-2108,411.82,202404,KG
Y-GEN-2109,217.56,202403,KG
Y-GEN-2109,231.12,202404,KG
Y-GEN-2110,174210.0,202403,TO
Y-GEN-2110,213660.0,202404,TO
Y-GEN-2111,242.3,202403,KG
Y-GEN-2111,236.75,202404,KG
Y-GEN-2112,254.02,202403,KG
Y-GEN-2112,315.55,202404,KG
Y-GEN-2113,218.44,202403,KG
Y-GEN-2113,254.63,202404,KG
Y-GEN-2114,364.08,202403,KG
Y-GEN-2114,363.67,202404,KG
Y-GEN-2115,318.42,202403,KG
Y-GEN-2115,392.03,202404,KG
Y-GEN-2116,359.71,202403,KG
Y-GEN-2116,459.25,202404,KG
Y-GEN-2117,397.33,202403,KG
Y-GEN-2117,475.05,202404,KG
Y-GEN-2118,131.39,202403,KG
Y-GEN-2118,134.32,202404,KG
Y-GEN-2119,151.36,202403,KG
Y-GEN-2119,146.83,202404,KG
Y-GEN-2120,165.95,202403,KG
Y-GEN-2120,181.71,202404,KG
Y-GEN-2121,196.03,202403,KG
Y-GEN-2121,245.37,202404,KG
Y-GEN-2122,242.17,202403,KG
Y-GEN-2122,280.9,202404,KG
Y-GEN-2123,372.51,202403,KG
Y-GEN-2123,416.43,202404,KG
Y-GEN-2124,363.69,202403,KG
Y-GEN-2124,469.56,202404,KG
Y-GEN-2125,430.17,202403,KG
Y-GEN-2125,454.73,202404,KG
Y-GEN-2126,327.2,202403,KG
Y-GEN-2126,414.85,202404,KG
Y-GEN-2127,287.89,202403,KG
Y-GEN-2127,368.96,202404,KG
Y-GEN-2128,270.95,202403,KG
Y-GEN-2128,348.7,202404,KG
Y-GEN-2129,242.43,202403,KG
Y-GEN-2129,286.16,202404,KG
Y-GEN-2130,401.9,202403,KG
Y-GEN-2130,427.11,202404,KG
Y-GEN-2131,239.97,202403,KG
Y-GEN-2131,291.98,202404,KG
Y-GEN-2132,309.94,202403,KG
Y-GEN-2132,333.54,202404,KG
Y-GEN-2133,184.94,202403,KG
Y-GEN-2133,215.83,202404,KG
Y-GEN-2134,173.83,202403,KG
Y-GEN-2134,199.75,202404,KG
Y-GEN-2135,445.37,202403,KG
Y-GEN-2135,506.17,202404,KG
Y-GEN-2136,374.3,202403,KG
Y-GEN-2136,479.37,202404,KG
Y-GEN-2137,339.26,202403,KG
Y-GEN-2137,396.11,202404,KG
Y-GEN-2138,133.47,202403,KG
Y-GEN-2138,139.9,202404,KG
Y-GEN-2139,446.26,202403,KG
Y-GEN-2139,463.2,202404,KG
Y-GEN-2140,359.58,202403,KG
Y-GEN-2140,457.31,202404,KG
Y-GEN-2141,311.55,202403,KG
Y-GEN-2141,304.82,202404,KG
Y-GEN-2142,396.11,202403,KG
Y-GEN-2142,457.44,202404,KG
Y-GEN-2143,184.4,202403,KG
Y-GEN-2143,208.89,202404,KG
Y-GEN-2144,240.55,202403,KG
Y-GEN-2144,304.21,202404,KG
Y-GEN-2145,136.65,202403,KG
Y-GEN-2145,148.25,202404,KG
Y-GEN-2146,299.77,202403,KG
Y-GEN-2146,355.95,202404,KG
Y-GEN-2147,120490.0,202403,TO
Y-GEN-2147,127890.0,202404,TO
Y-GEN-2148,404.56,202403,KG
Y-GEN-2148,440.75,202404,KG
Y-GEN-2149,166.66,202403,KG
Y-GEN-2149,174.57,202404,KG
Y-GEN-2150,161.56,202403,KG
Y-GEN-2150,160.3,202404,KG
Y-GEN-2151,279.6,202403,KG
Y-GEN-2151,287.97,202404,KG
Y-GEN-2152,411.03,202403,KG
Y-GEN-2152,430.99,202404,KG
Y-GEN-2153,247.12,202403,KG
Y-GEN-2153,298.13,202404,KG
Y-GEN-2154,206.5,202403,KG
Y-GEN-2154,247.72,202404,KG
Y-GEN-2155,348.01,202403,KG
Y-GEN-2155,398.78,202404,KG
Y-GEN-2156,392.87,202403,KG
Y-GEN-2156,415.65,202404,KG
Y-GEN-2157,239.94,202403,KG
Y-GEN-2157,265.12,202404,KG
Y-GEN-2158,141.99,202403,KG
Y-GEN-2158,181.81,202404,KG
Y-GEN-2159,219.8,202403,KG
Y-GEN-2159,270.2,202404,KG
Y-GEN-2160,195.18,202403,KG
Y-GEN-2160,235.0,202404,KG
Y-GEN-2161,366.09,202403,KG
Y-GEN-2161,383.22,202404,KG
Y-GEN-2162,446.87,202403,KG
Y-GEN-2162,540.51,202404,KG
Y-GEN-2163,242.59,202403,KG
Y-GEN-2163,291.72,202404,KG
Y-GEN-2164,156.57,202403,KG
Y-GEN-2164,151.62,202404,KG
Y-GEN-2165,393.29,202403,KG
Y-GEN-2165,510.58,202404,KG
Y-GEN-2166,162.62,202403,KG
Y-GEN-2166,183.5,202404,KG
Y-GEN-2167,332.73,202403,KG
Y-GEN-2167,333.88,202404,KG
Y-GEN-2168,157.39,202403,KG
Y-GEN-2168,155.18,202404,KG
Y-GEN-2169,136.91,202403,KG
Y-GEN-2169,134.29,202404,KG
Y-GEN-2170,435.24,202403,KG
Y-GEN-2170,491.15,202404,KG
Y-GEN-2171,426.7,202403,KG
Y-GEN-2171,541.02,202404,KG
Y-GEN-2172,347.16,202403,KG
Y-GEN-2172,365.27,202404,KG
Y-GEN-2173,336.2,202403,KG
Y-GEN-2173,319.42,202404,KG
Y-GEN-2174,332.06,202403,KG
Y-GEN-2174,351.87,202404,KG
Y-GEN-2175,325.19,202403,KG
Y-GEN-2175,417.06,202404,KG
Y-GEN-2176,130.3,202403,KG
Y-GEN-2176,128.58,202404,KG
Y-GEN-2177,298.82,202403,KG
Y-GEN-2177,317.89,202404,KG
Y-GEN-2178,173.98,202403,KG
Y-GEN-2178,170.46,202404,KG
Y-GEN-2179,166.1,202403,KG
Y-GEN-2179,202.97,202404,KG
Y-GEN-2180,164.85,202403,KG
Y-GEN-2180,158.93,202404,KG
Y-GEN-2181,356.37,202403,KG
Y-GEN-2181,456.18,202404,KG
Y-GEN-2182,162.66,202403,KG
Y-GEN-2182,186.64,202404,KG
Y-GEN-2183,373.25,202403,KG
Y-GEN-2183,430.43,202404,KG
Y-GEN-2184,413210.0,202403,TO
Y-GEN-2184,526920.0,202404,TO
Y-GEN-2185,202.93,202403,KG
Y-GEN-2185,205.73,202404,KG
Y-GEN-2186,156.21,202403,KG
Y-GEN-2186,195.73,202404,KG
Y-GEN-2187,418.24,202403,KG
Y-GEN-2187,511.33,202404,KG
Y-GEN-2188,381.57,202403,KG
Y-GEN-2188,363.97,202404,KG
Y-GEN-2189,290.15,202403,KG
Y-GEN-2189,372.16,202404,KG
Y-GEN-2190,443.29,202403,KG
Y-GEN-2190,550.44,202404,KG
Y-GEN-2191,168.34,202403,KG
Y-GEN-2191,214.18,202404,KG
Y-GEN-2192,132.84,202403,KG
Y-GEN-2192,126.6,202404,KG
Y-GEN-2193,363.16,202403,KG
Y-GEN-2193,391.32,202404,KG
Y-GEN-2194,414.33,202403,KG
Y-GEN-2194,532.04,202404,KG
Y-GEN-2195,157.02,202403,KG
Y-GEN-2195,185.66,202404,KG
Y-GEN-2196,302.83,202403,KG
Y-GEN-2196,355.87,202404,KG
Y-GEN-2197,409.93,202403,KG
Y-GEN-2197,419.85,202404,KG
Y-GEN-2198,366.58,202403,KG
Y-GEN-2198,411.47,202404,KG
Y-GEN-2199,433.78,202403,KG
Y-GEN-2199,455.18,202404,KG
Y-GEN-2200,218.67,202403,KG
Y-GEN-2200,246.44,202404,KG
Y-GEN-2201,315.01,202403,KG
Y-GEN-2201,349.31,202404,KG
Y-GEN-2202,171.15,202403,KG
Y-GEN-2202,204.49,202404,KG
Y-GEN-2203,340.18,202403,KG
Y-GEN-2203,392.24,202404,KG
Y-GEN-2204,143.31,202403,KG
Y-GEN-2204,156.47,202404,KG
Y-GEN-2205,376.52,202403,KG
Y-GEN-2205,454.07,202404,KG
Y-GEN-2206,255.48,202403,KG
Y-GEN-2206,302.31,202404,KG
Y-GEN-2207,248.44,202403,KG
Y-GEN-2207,270.19,202404,KG
Y-GEN-2208,327.06,202403,KG
Y-GEN-2208,331.8,202404,KG
Y-GEN-2209,262.01,202403,KG
Y-GEN-2209,310.05,202404,KG
Y-GEN-2210,362.92,202403,KG
Y-GEN-2210,409.93,202404,KG
Y-GEN-2211,164.76,202403,KG
Y-GEN-2211,212.17,202404,KG
Y-GEN-2212,286.13,202403,KG
Y-GEN-2212,336.06,202404,KG
Y-GEN-2213,375.65,202403,KG
Y-GEN-2213,407.11,202404,KG
Y-GEN-2214,350.35,202403,KG
Y-GEN-2214,351.16,202404,KG
Y-GEN-2215,242.26,202403,KG
Y-GEN-2215,284.28,202404,KG
Y-GEN-2216,287.08,202403,KG
Y-GEN-2216,304.75,202404,KG
Y-GEN-2217,250.0,202403,KG
Y-GEN-2217,315.2,202404,KG
Y-GEN-2218,429.0,202403,KG
Y-GEN-2218,471.53,202404,KG
Y-GEN-2219,233.31,202403,KG
Y-GEN-2219,285.61,202404,KG
Y-GEN-2220,217.81,202403,KG
Y-GEN-2220,245.81,202404,KG
Y-GEN-2221,216790.0,202403,TO
Y-GEN-2221,219080.0,202404,TO
Y-GEN-2222,130.04,202403,KG
Y-GEN-2222,139.29,202404,KG
Y-GEN-2223,207.66,202403,KG
Y-GEN-2223,205.45,202404,KG
Y-GEN-2224,445.67,202403,KG
Y-GEN-2224,454.12,202404,KG
Y-GEN-2225,185.77,202403,KG
Y-GEN-2225,233.46,202404,KG
Y-GEN-2226,178.66,202403,KG
Y-GEN-2226,211.59,202404,KG
Y-GEN-2227,373.85,202403,KG
Y-GEN-2227,416.32,202404,KG
Y-GEN-2228,336.52,202403,KG
Y-GEN-2228,413.86,202404,KG
Y-GEN-2229,130.66,202403,KG
Y-GEN-2229,132.83,202404,KG
Y-GEN-2230,268.65,202403,KG
Y-GEN-2230,342.37,202404,KG
Y-GEN-2231,229.59,202403,KG
Y-GEN-2231,240.5,202404,KG
Y-GEN-2232,175.76,202403,KG
Y-GEN-2232,225.13,202404,KG
Y-GEN-2233,419.92,202403,KG
Y-GEN-2233,412.65,202404,KG
Y-GEN-2234,427.25,202403,KG
Y-GEN-2234,431.81,202404,KG
Y-GEN-2235,193.85,202403,KG
Y-GEN-2235,251.6,202404,KG
Y-GEN-2236,436.24,202403,KG
Y-GEN-2236,527.28,202404,KG
Y-GEN-2237,294.45,202403,KG
Y-GEN-2237,344.75,202404,KG
Y-GEN-2238,129.67,202403,KG
Y-GEN-2238,157.08,202404,KG
Y-GEN-2239,321.15,202403,KG
Y-GEN-2239,306.81,202404,KG
Y-GEN-2240,206.08,202403,KG
Y-GEN-2240,206.58,202404,KG
Y-GEN-2241,427.97,202403,KG
Y-GEN-2241,534.25,202404,KG
Y-GEN-2242,263.96,202403,KG
Y-GEN-2242,313.45,202404,KG
Y-GEN-2243,200.74,202403,KG
Y-GEN-2243,236.33,202404,KG
Y-GEN-2244,257.25,202403,KG
Y-GEN-2244,261.83,202404,KG
Y-GEN-2245,326.31,202403,KG
Y-GEN-2245,369.56,202404,KG
Y-GEN-2246,163.67,202403,KG
Y-GEN-2246,186.31,202404,KG
Y-GEN-2247,345.73,202403,KG
Y-GEN-2247,346.16,202404,KG
Y-GEN-2248,446.3,202403,KG
Y-GEN-2248,559.64,202404,KG
Y-GEN-2249,122.36,202403,KG
Y-GEN-2249,146.07,202404,KG
Y-GEN-2250,151.5,202403,KG
Y-GEN-2250,151.86,202404,KG
Y-GEN-2251,156.3,202403,KG
Y-GEN-2251,189.07,202404,KG
Y-GEN-2252,175.57,202403,KG
Y-GEN-2252,196.45,202404,KG
Y-GEN-2253,319.6,202403,KG
Y-GEN-2253,360.97,202404,KG
Y-GEN-2254,241.62,202403,KG
Y-GEN-2254,277.72,202404,KG
Y-GEN-2255,253.45,202403,KG
Y-GEN-2255,296.78,202404,KG
Y-GEN-2256,145.48,202403,KG
Y-GEN-2256,142.68,202404,KG
Y-GEN-2257,424.78,202403,KG
Y-GEN-2257,533.42,202404,KG
Y-GEN-2258,301900.0,202403,TO
Y-GEN-2258,288590.0,202404,TO
Y-GEN-2259,175.24,202403,KG
Y-GEN-2259,173.38,202404,KG
Y-GEN-2260,138.05,202403,KG
Y-GEN-2260,178.18,202404,KG
Y-GEN-2261,438.02,202403,KG
Y-GEN-2261,448.63,202404,KG
Y-GEN-2262,127.02,202403,KG
Y-GEN-2262,131.6,202404,KG
Y-GEN-2263,244.65,202403,KG
Y-GEN-2263,301.06,202404,KG
Y-GEN-2264,160.54,202403,KG
Y-GEN-2264,180.57,202404,KG
Y-GEN-2265,385.7,202403,KG
Y-GEN-2265,388.69,202404,KG
Y-GEN-2266,147.26,202403,KG
Y-GEN-2266,169.04,202404,KG
Y-GEN-2267,385.46,202403,KG
Y-GEN-2267,450.69,202404,KG
Y-GEN-2268,324.72,202403,KG
Y-GEN-2268,399.01,202404,KG
Y-GEN-2269,289.35,202403,KG
Y-GEN-2269,293.93,202404,KG
Y-GEN-2270,120.35,202403,KG
Y-GEN-2270,115.16,202404,KG
Y-GEN-2271,271.52,202403,KG
Y-GEN-2271,270.59,202404,KG
Y-GEN-2272,343.25,202403,KG
Y-GEN-2272,341.8,202404,KG
Y-GEN-2273,386.98,202403,KG
Y-GEN-2273,446.87,202404,KG
Y-GEN-2274,427.51,202403,KG
Y-GEN-2274,493.49,202404,KG
Y-GEN-2275,138.63,202403,KG
Y-GEN-2275,152.57,202404,KG
Y-GEN-2276,120.4,202403,KG
Y-GEN-2276,135.92,202404,KG
Y-GEN-2277,185.0,202403,KG
Y-GEN-2277,216.86,202404,KG
Y-GEN-2278,393.74,202403,KG
Y-GEN-2278,386.55,202404,KG
Y-GEN-2279,243.42,202403,KG
Y-GEN-2279,247.54,202404,KG
Y-GEN-2280,315.12,202403,KG
Y-GEN-2280,390.44,202404,KG
Y-GEN-2281,444.33,202403,KG
Y-GEN-2281,436.12,202404,KG
