fabric_code,product_category,distribution_channel,production_plant
FAB-W0635,EXPORT,CH01,7100
FAB-W0636,DOMESTIC,CH02,9100
FAB-W0637,EXPORT,CH03,6100
FAB-W0638,DOMESTIC,CH04,7100
FAB-W0639,EXPORT,CH01,9100
FAB-W0640,DOMESTIC,CH02,6100
FAB-W0641,EXPORT,CH03,7100
FAB-W0642,DOMESTIC,CH04,9100
FAB-W0643,EXPORT,CH01,6100
FAB-W0644,DOMESTIC,CH02,7100
FAB-W0645,EXPORT,CH03,9100
FAB-W0646,DOMESTIC,CH04,6100
FAB-W0647,EXPORT,CH01,7100
FAB-W0648,DOMESTIC,CH02,9100
FAB-W0649,EXPORT,CH03,6100
FAB-W0650,DOMESTIC,CH04,7100
FAB-W0651,EXPORT,CH01,9100
FAB-W0652,DOMESTIC,CH02,6100
FAB-W0653,EXPORT,CH03,7100
FAB-W0654,DOMESTIC,CH04,9100
FAB-W0655,EXPORT,CH01,6100
FAB-W0656,DOMESTIC,CH02,7100
FAB-W0657,EXPORT,CH03,9100
FAB-W0658,DOMESTIC,CH04,6100
FAB-W0659,EXPORT,CH01,7100
FAB-W0660,DOMESTIC,CH02,9100
FAB-W0661,EXPORT,CH03,6100
FAB-W0662,DOMESTIC,CH04,7100
FAB-W0663,EXPORT,CH01,9100
FAB-W0664,DOMESTIC,CH02,6100
FAB-W0665,EXPORT,CH03,7100
FAB-W0666,DOMESTIC,CH04,9100
FAB-W0667,EXPORT,CH01,6100
FAB-W0668,DOMESTIC,CH02,7100
FAB-W0669,EXPORT,CH03,9100
FAB-W0670,DOMESTIC,CH04,6100
FAB-W0671,EXPORT,CH01,7100
FAB-W0672,DOMESTIC,CH02,9100
FAB-W0673,EXPORT,CH03,6100
FAB-W0674,DOMESTIC,CH04,7100
FAB-W0675,EXPORT,CH01,9100
FAB-W0676,DOMESTIC,CH02,6100
FAB-W0677,EXPORT,CH03,7100
FAB-W0678,DOMESTIC,CH04,9100
FAB-W0679,EXPORT,CH01,6100
FAB-W0680,DOMESTIC,CH02,7100
FAB-W0681,EXPORT,CH03,9100
FAB-W0682,DOMESTIC,CH04,6100
FAB-W0683,EXPORT,CH01,7100
FAB-W0684,DOMESTIC,CH02,9100
FAB-W0685,EXPORT,CH03,6100
FAB-W0686,DOMESTIC,CH04,7100
FAB-W0687,EXPORT,CH01,9100
FAB-W0688,DOMESTIC,CH02,6100
FAB-W0689,EXPORT,CH03,7100
FAB-W0690,DOMESTIC,CH04,9100
FAB-W0691,EXPORT,CH01,6100
FAB-W0692,DOMESTIC,CH02,7100
FAB-W0693,EXPORT,CH03,9100
FAB-W0694,DOMESTIC,CH04,6100
FAB-W0695,EXPORT,CH01,7100
FAB-W0696,DOMESTIC,CH02,9100
FAB-W0697,EXPORT,CH03,6100
FAB-W0698,DOMESTIC,CH04,7100
FAB-W0699,EXPORT,CH01,9100
FAB-W0700,DOMESTIC,CH02,6100
FAB-W0701,EXPORT,CH03,7100
FAB-W0702,DOMESTIC,CH04,9100
FAB-W0703,EXPORT,CH01,6100
FAB-W0704,DOMESTIC,CH02,7100
FAB-W0705,EXPORT,CH03,9100
FAB-W0706,DOMESTIC,CH04,6100
FAB-W0707,EXPORT,CH01,7100
FAB-W0708,DOMESTIC,CH02,9100
FAB-W0709,EXPORT,CH03,6100
FAB-W0710,DOMESTIC,CH04,7100
FAB-W0711,EXPORT,CH01,9100
FAB-W0712,DOMESTIC,CH02,6100
FAB-W0713,EXPORT,CH03,7100
FAB-W0714,DOMESTIC,CH04,9100
FAB-W0715,EXPORT,CH01,6100
FAB-W0716,DOMESTIC,CH02,7100
FAB-W0717,EXPORT,CH03,9100
FAB-W0718,DOMESTIC,CH04,6100
FAB-W0719,EXPORT,CH01,7100
FAB-W0720,DOMESTIC,CH02,9100
FAB-W0721,EXPORT,CH03,6100
FAB-W0722,DOMESTIC,CH04,7100
FAB-W0723,EXPORT,CH01,9100
FAB-W0724,DOMESTIC,CH02,6100
FAB-W0725,EXPORT,CH03,7100
FAB-W0726,DOMESTIC,CH04,9100
FAB-W0727,EXPORT,CH01,6100
FAB-W0728,DOMESTIC,CH02,7100
FAB-W0729,EXPORT,CH03,9100
FAB-W0730,DOMESTIC,CH04,6100
FAB-W0731,EXPORT,CH01,7100
FAB-W0732,DOMESTIC,CH02,9100
FAB-W0733,EXPORT,CH03,6100
FAB-W0734,DOMESTIC,CH04,7100
FAB-W0735,EXPORT,CH01,9100
FAB-W0736,DOMESTIC,CH02,6100
FAB-W0737,EXPORT,CH03,7100
FAB-W0738,DOMESTIC,CH04,9100
FAB-W0739,EXPORT,CH01,6100
FAB-W0740,DOMESTIC,CH02,7100
FAB-W0741,EXPORT,CH03,9100
FAB-W0742,DOMESTIC,CH04,6100
FAB-W0743,EXPORT,CH01,7100
FAB-W0744,DOMESTIC,CH02,9100
FAB-W0745,EXPORT,CH03,6100
FAB-W0746,DOMESTIC,CH04,7100
FAB-W0747,EXPORT,CH01,9100
FAB-W0748,DOMESTIC,CH02,6100
FAB-W0749,EXPORT,CH03,7100
FAB-W0750,DOMESTIC,CH04,9100
FAB-W0751,EXPORT,CH01,6100
FAB-W0752,DOMESTIC,CH02,7100
FAB-W0753,EXPORT,CH03,9100
FAB-W0754,DOMESTIC,CH04,6100
FAB-W0755,EXPORT,CH01,7100
FAB-W0756,DOMESTIC,CH02,9100
FAB-W0757,EXPORT,CH03,6100
FAB-W0758,DOMESTIC,CH04,7100
FAB-W0759,EXPORT,CH01,9100
FAB-W0760,DOMESTIC,CH02,6100
FAB-W0761,EXPORT,CH03,7100
FAB-W0762,DOMESTIC,CH04,9100
FAB-W0763,EXPORT,CH01,6100
FAB-W0764,DOMESTIC,CH02,7100
FAB-W0765,EXPORT,CH03,9100
FAB-W0766,DOMESTIC,CH04,6100
FAB-W0767,EXPORT,CH01,7100
FAB-W0768,DOMESTIC,CH02,9100
FAB-W0769,EXPORT,CH03,6100
FAB-W0770,DOMESTIC,CH04,7100
FAB-W0771,EXPORT,CH01,9100
FAB-W0772,DOMESTIC,CH02,6100
FAB-W0773,EXPORT,CH03,7100
FAB-W0774,DOMESTIC,CH04,9100
FAB-W0775,EXPORT,CH01,6100
FAB-W0776,DOMESTIC,CH02,7100
FAB-W0777,EXPORT,CH03,9100
FAB-W0778,DOMESTIC,CH04,6100
FAB-W0779,EXPORT,CH01,7100
FAB-W0780,DOMESTIC,CH02,9100
FAB-W0781,EXPORT,CH03,6100
FAB-W0782,DOMESTIC,CH04,7100
FAB-W0783,EXPORT,CH01,9100
FAB-W0784,DOMESTIC,CH02,6100
FAB-W0785,EXPORT,CH03,7100
FAB-W0786,DOMESTIC,CH04,9100
FAB-W0787,EXPORT,CH01,6100
FAB-W0788,DOMESTIC,CH02,7100
FAB-W0789,EXPORT,CH03,9100
FAB-W0790,DOMESTIC,CH04,6100
FAB-W0791,EXPORT,CH01,7100
FAB-W0792,DOMESTIC,CH02,9100
FAB-W0793,EXPORT,CH03,6100
FAB-W0794,DOMESTIC,CH04,7100
FAB-W0795,EXPORT,CH01,9100
FAB-W0796,DOMESTIC,CH02,6100
FAB-W0797,EXPORT,CH03,7100
FAB-W0798,DOMESTIC,CH04,9100
FAB-W0799,EXPORT,CH01,6100
FAB-W0800,DOMESTIC,CH02,7100
FAB-W0801,EXPORT,CH03,9100
FAB-W0802,DOMESTIC,CH04,6100
FAB-W0803,EXPORT,CH01,7100
FAB-W0804,DOMESTIC,CH02,9100
FAB-W0805,EXPORT,CH03,6100
FAB-W0806,DOMESTIC,CH04,7100
FAB-W0807,EXPORT,CH01,9100
FAB-W0808,DOMESTIC,CH02,6100
FAB-W0809,EXPORT,CH03,7100
FAB-W0810,DOMESTIC,CH04,9100
FAB-W0811,EXPORT,CH01,6100
FAB-W0812,DOMESTIC,CH02,7100
FAB-W0813,EXPORT,CH03,9100
FAB-W0814,DOMESTIC,CH04,6100
FAB-W0815,EXPORT,CH01,7100
FAB-W0816,DOMESTIC,CH02,9100
FAB-W0817,EXPORT,CH03,6100
FAB-W0818,DOMESTIC,CH04,7100
FAB-W0819,EXPORT,CH01,9100
FAB-W0820,DOMESTIC,CH02,6100
FAB-W0821,EXPORT,CH03,7100
FAB-W0822,DOMESTIC,CH04,9100
FAB-W0823,EXPORT,CH01,6100
FAB-W0824,DOMESTIC,CH02,7100
FAB-W0825,EXPORT,CH03,9100
FAB-W0826,DOMESTIC,CH04,6100
FAB-W0827,EXPORT,CH01,7100
FAB-W0828,DOMESTIC,CH02,9100
FAB-W0829,EXPORT,CH03,6100
FAB-W0830,DOMESTIC,CH04,7100
FAB-W0831,EXPORT,CH01,9100
FAB-W0832,DOMESTIC,CH02,6100
FAB-W0833,EXPORT,CH03,7100
FAB-W0834,DOMESTIC,CH04,9100
FAB-W0835,EXPORT,CH01,6100
FAB-W0836,DOMESTIC,CH02,7100
FAB-W0837,EXPORT,CH03,9100
FAB-W0838,DOMESTIC,CH04,6100
FAB-W0839,EXPORT,CH01,7100
FAB-W0840,DOMESTIC,CH02,9100
FAB-W0841,EXPORT,CH03,6100
FAB-W0842,DOMESTIC,CH04,7100
FAB-W0843,EXPORT,CH01,9100
FAB-W0844,DOMESTIC,CH02,6100
FAB-W0845,EXPORT,CH03,7100
FAB-W0846,DOMESTIC,CH04,9100
FAB-W0847,EXPORT,CH01,6100
FAB-W0848,DOMESTIC,CH02,7100
FAB-W0849,EXPORT,CH03,9100
FAB-W0850,DOMESTIC,CH04,6100
FAB-W0851,EXPORT,CH01,7100
FAB-W0852,DOMESTIC,CH02,9100
FAB-W0853,EXPORT,CH03,6100
FAB-W0854,DOMESTIC,CH04,7100
FAB-W0855,EXPORT,CH01,9100
FAB-W0856,DOMESTIC,CH02,6100
FAB-W0857,EXPORT,CH03,7100
FAB-W0858,DOMESTIC,CH04,9100
FAB-W0859,EXPORT,CH01,6100
FAB-W0860,DOMESTIC,CH02,7100
FAB-W0861,EXPORT,CH03,9100
FAB-W0862,DOMESTIC,CH04,6100
FAB-W0863,EXPORT,CH01,7100
FAB-W0864,DOMESTIC,CH02,9100
FAB-W0865,EXPORT,CH03,6100
FAB-W0866,DOMESTIC,CH04,7100
FAB-W0867,EXPORT,CH01,9100
FAB-W0868,DOMESTIC,CH02,6100
FAB-W0869,EXPORT,CH03,7100
FAB-W0870,DOMESTIC,CH04,9100
FAB-W0871,EXPORT,CH01,6100
FAB-W0872,DOMESTIC,CH02,7100
FAB-W0873,EXPORT,CH03,9100
FAB-W0874,DOMESTIC,CH04,6100
FAB-W0875,EXPORT,CH01,7100
FAB-W0876,DOMESTIC,CH02,9100
FAB-W0877,EXPORT,CH03,6100
FAB-W0878,DOMESTIC,CH04,7100
FAB-W0879,EXPORT,CH01,9100
FAB-W0880,DOMESTIC,CH02,6100
FAB-W0881,EXPORT,CH03,7100
FAB-W0882,DOMESTIC,CH04,9100
FAB-W0883,EXPORT,CH01,6100
FAB-W0884,DOMESTIC,CH02,7100
FAB-W0885,EXPORT,CH03,9100
FAB-W0886,DOMESTIC,CH04,6100
FAB-W0887,EXPORT,CH01,7100
FAB-W0888,DOMESTIC,CH02,9100
FAB-W0889,EXPORT,CH03,6100
FAB-W0890,DOMESTIC,CH04,7100
FAB-W0891,EXPORT,CH01,9100
FAB-W0892,DOMESTIC,CH02,6100
FAB-W0893,EXPORT,CH03,7100
FAB-W0894,DOMESTIC,CH04,9100
FAB-W0895,EXPORT,CH01,6100
FAB-W0896,DOMESTIC,CH02,7100
FAB-W0897,EXPORT,CH03,9100
FAB-W0898,DOMESTIC,CH04,6100
FAB-W0899,EXPORT,CH01,7100
FAB-W0900,DOMESTIC,CH02,9100
FAB-W0901,EXPORT,CH03,6100
FAB-W0902,DOMESTIC,CH04,7100
FAB-W0903,EXPORT,CH01,9100
FAB-W0904,DOMESTIC,CH02,6100
FAB-W0905,EXPORT,CH03,7100
FAB-W0906,DOMESTIC,CH04,9100
FAB-W0907,EXPORT,CH01,6100
FAB-W0908,DOMESTIC,CH02,7100
FAB-W0909,EXPORT,CH03,9100
FAB-W0910,DOMESTIC,CH04,6100
FAB-W0911,EXPORT,CH01,7100
FAB-W0912,DOMESTIC,CH02,9100
FAB-W0913,EXPORT,CH03,6100
FAB-W0914,DOMESTIC,CH04,7100
FAB-W0915,EXPORT,CH01,9100
FAB-W0916,DOMESTIC,CH02,6100
FAB-W0917,EXPORT,CH03,7100
FAB-W0918,DOMESTIC,CH04,9100
FAB-W0919,EXPORT,CH01,6100
FAB-W0920,DOMESTIC,CH02,7100
FAB-W0921,EXPORT,CH03,9100
FAB-W0922,DOMESTIC,CH04,6100
FAB-W0923,EXPORT,CH01,7100
FAB-W0924,DOMESTIC,CH02,9100
FAB-W0925,EXPORT,CH03,6100
FAB-W0926,DOMESTIC,CH04,7100
FAB-W0927,EXPORT,CH01,9100
FAB-W0928,DOMESTIC,CH02,6100
FAB-W0929,EXPORT,CH03,7100
FAB-W0930,DOMESTIC,CH04,9100
FAB-W0931,EXPORT,CH01,6100
FAB-W0932,DOMESTIC,CH02,7100
FAB-W0933,EXPORT,CH03,9100
FAB-W0934,DOMESTIC,CH04,6100
FAB-W0935,EXPORT,CH01,7100
FAB-W0936,DOMESTIC,CH02,9100
FAB-W0937,EXPORT,CH03,6100
FAB-W0938,DOMESTIC,CH04,7100
FAB-W0939,EXPORT,CH01,9100
FAB-W0940,DOMESTIC,CH02,6100
FAB-W0941,EXPORT,CH03,7100
FAB-W0942,DOMESTIC,CH04,9100
FAB-W0943,EXPORT,CH01,6100
FAB-W0944,DOMESTIC,CH02,7100
FAB-W0945,EXPORT,CH03,9100
FAB-W0946,DOMESTIC,CH04,6100
FAB-W0947,EXPORT,CH01,7100
FAB-W0948,DOMESTIC,CH02,9100
FAB-W0949,EXPORT,CH03,6100
FAB-W0950,DOMESTIC,CH04,7100
FAB-W0951,EXPORT,CH01,9100
FAB-W0952,DOMESTIC,CH02,6100
FAB-W0953,EXPORT,CH03,7100
FAB-W0954,DOMESTIC,CH04,9100
FAB-W0955,EXPORT,CH01,6100
FAB-W0956,DOMESTIC,CH02,7100
FAB-W0957,EXPORT,CH03,9100
FAB-W0958,DOMESTIC,CH04,6100
FAB-W0959,EXPORT,CH01,7100
FAB-W0960,DOMESTIC,CH02,9100
FAB-W0961,EXPORT,CH03,6100
FAB-W0962,DOMESTIC,CH04,7100
FAB-W0963,EXPORT,CH01,9100
FAB-W0964,DOMESTIC,CH02,6100
FAB-W0965,EXPORT,CH03,7100
FAB-W0966,DOMESTIC,CH04,9100
FAB-W0967,EXPORT,CH01,6100
FAB-W0968,DOMESTIC,CH02,7100
FAB-W0969,EXPORT,CH03,9100
FAB-W0970,DOMESTIC,CH04,6100
FAB-W0971,EXPORT,CH01,7100
FAB-W0972,DOMESTIC,CH02,9100
FAB-W0973,EXPORT,CH03,6100
FAB-W0974,DOMESTIC,CH04,7100
FAB-W0975,EXPORT,CH01,9100
FAB-W0976,DOMESTIC,CH02,6100
FAB-W0977,EXPORT,CH03,7100
FAB-W0978,DOMESTIC,CH04,9100
FAB-W0979,EXPORT,CH01,6100
FAB-W0980,DOMESTIC,CH02,7100
FAB-W0981,EXPORT,CH03,9100
FAB-W0982,DOMESTIC,CH04,6100
FAB-W0983,EXPORT,CH01,7100
FAB-W0984,DOMESTIC,CH02,9100
FAB-W0985,EXPORT,CH03,6100
FAB-W0986,DOMESTIC,CH04,7100
FAB-W0987,EXPORT,CH01,9100
FAB-W0988,DOMESTIC,CH02,6100
FAB-W0989,EXPORT,CH03,7100
FAB-W0990,DOMESTIC,CH04,9100
FAB-W0991,EXPORT,CH01,6100
FAB-W0992,DOMESTIC,CH02,7100
FAB-W0993,EXPORT,CH03,9100
FAB-W0994,DOMESTIC,CH04,6100
FAB-W0995,EXPORT,CH01,7100
FAB-W0996,DOMESTIC,CH02,9100
FAB-W0997,EXPORT,CH03,6100
FAB-W0998,DOMESTIC,CH04,7100
FAB-W0999,EXPORT,CH01,9100
FAB-W1000,DOMESTIC,CH02,6100
FAB-W1001,EXPORT,CH03,7100
FAB-W1002,DOMESTIC,CH04,9100
FAB-W1003,EXPORT,CH01,6100
FAB-W1004,DOMESTIC,CH02,7100
FAB-W1005,EXPORT,CH03,9100
FAB-W1006,DOMESTIC,CH04,6100
FAB-W1007,EXPORT,CH01,7100
FAB-W1008,DOMESTIC,CH02,9100
FAB-W1009,EXPORT,CH03,6100
FAB-W1010,DOMESTIC,CH04,7100
FAB-W1011,EXPORT,CH01,9100
FAB-W1012,DOMESTIC,CH02,6100
FAB-W1013,EXPORT,CH03,7100
FAB-W1014,DOMESTIC,CH04,9100
FAB-W1015,EXPORT,CH01,6100
FAB-W1016,DOMESTIC,CH02,7100
FAB-W1017,EXPORT,CH03,9100
FAB-W1018,DOMESTIC,CH04,6100
FAB-W1019,EXPORT,CH01,7100
FAB-W1020,DOMESTIC,CH02,9100
FAB-W1021,EXPORT,CH03,6100
FAB-W1022,DOMESTIC,CH04,7100
FAB-W1023,EXPORT,CH01,9100
FAB-W1024,DOMESTIC,CH02,6100
FAB-W1025,EXPORT,CH03,7100
FAB-W1026,DOMESTIC,CH04,9100
FAB-W1027,EXPORT,CH01,6100
FAB-W1028,DOMESTIC,CH02,7100
FAB-W1029,EXPORT,CH03,9100
FAB-W1030,DOMESTIC,CH04,6100
FAB-W1031,EXPORT,CH01,7100
FAB-W1032,DOMESTIC,CH02,9100
FAB-W1033,EXPORT,CH03,6100
FAB-W1034,DOMESTIC,CH04,7100
FAB-W1035,EXPORT,CH01,9100
FAB-W1036,DOMESTIC,CH02,6100
FAB-W1037,EXPORT,CH03,7100
FAB-W1038,DOMESTIC,CH04,9100
FAB-W1039,EXPORT,CH01,6100
FAB-W1040,DOMESTIC,CH02,7100
FAB-W1041,EXPORT,CH03,9100
FAB-W1042,DOMESTIC,CH04,6100
FAB-W1043,EXPORT,CH01,7100
FAB-W1044,DOMESTIC,CH02,9100
FAB-W1045,EXPORT,CH03,6100
FAB-W1046,DOMESTIC,CH04,7100
FAB-W1047,EXPORT,CH01,9100
FAB-W1048,DOMESTIC,CH02,6100
FAB-W1049,EXPORT,CH03,7100
FAB-W1050,DOMESTIC,CH04,9100
FAB-W1051,EXPORT,CH01,6100
FAB-W1052,DOMESTIC,CH02,7100
FAB-W1053,EXPORT,CH03,9100
FAB-W1054,DOMESTIC,CH04,6100
FAB-W1055,EXPORT,CH01,7100
FAB-W1056,DOMESTIC,CH02,9100
FAB-W1057,EXPORT,CH03,6100
FAB-W1058,DOMESTIC,CH04,7100
FAB-W1059,EXPORT,CH01,9100
FAB-W1060,DOMESTIC,CH02,6100
FAB-W1061,EXPORT,CH03,7100
FAB-W1062,DOMESTIC,CH04,9100
FAB-W1063,EXPORT,CH01,6100
FAB-W1064,DOMESTIC,CH02,7100
FAB-W1065,EXPORT,CH03,9100
FAB-W1066,DOMESTIC,CH04,6100
FAB-W1067,EXPORT,CH01,7100
FAB-W1068,DOMESTIC,CH02,9100
FAB-W1069,EXPORT,CH03,6100
FAB-W1070,DOMESTIC,CH04,7100
FAB-W1071,EXPORT,CH01,9100
FAB-W1072,DOMESTIC,CH02,6100
FAB-W1073,EXPORT,CH03,7100
FAB-W1074,DOMESTIC,CH04,9100
FAB-W1075,EXPORT,CH01,6100
FAB-W1076,DOMESTIC,CH02,7100
FAB-W1077,EXPORT,CH03,9100
FAB-W1078,DOMESTIC,CH04,6100
FAB-W1079,EXPORT,CH01,7100
FAB-W1080,DOMESTIC,CH02,9100
FAB-W1081,EXPORT,CH03,6100
FAB-W1082,DOMESTIC,CH04,7100
FAB-W1083,EXPORT,CH01,9100
FAB-W1084,DOMESTIC,CH02,6100
FAB-W1085,EXPORT,CH03,7100
FAB-W1086,DOMESTIC,CH04,9100
FAB-W1087,EXPORT,CH01,6100
FAB-W1088,DOMESTIC,CH02,7100
FAB-W1089,EXPORT,CH03,9100
FAB-W1090,DOMESTIC,CH04,6100
FAB-W1091,EXPORT,CH01,7100
FAB-W1092,DOMESTIC,CH02,9100
FAB-W1093,EXPORT,CH03,6100
FAB-W1094,DOMESTIC,CH04,7100
FAB-W1095,EXPORT,CH01,9100
FAB-W1096,DOMESTIC,CH02,6100
FAB-W1097,EXPORT,CH03,7100
FAB-W1098,DOMESTIC,CH04,9100
FAB-W1099,EXPORT,CH01,6100
FAB-W1100,DOMESTIC,CH02,7100
FAB-W1101,EXPORT,CH03,9100
FAB-W1102,DOMESTIC,CH04,6100
FAB-W1103,EXPORT,CH01,7100
FAB-W1104,DOMESTIC,CH02,9100
FAB-W1105,EXPORT,CH03,6100
FAB-W1106,DOMESTIC,CH04,7100
FAB-W1107,EXPORT,CH01,9100
FAB-W1108,DOMESTIC,CH02,6100
FAB-W1109,EXPORT,CH03,7100
FAB-W1110,DOMESTIC,CH04,9100
FAB-W1111,EXPORT,CH01,6100
FAB-W1112,DOMESTIC,CH02,7100
FAB-W1113,EXPORT,CH03,9100
FAB-W1114,DOMESTIC,CH04,6100
FAB-W1115,EXPORT,CH01,7100
FAB-W1116,DOMESTIC,CH02,9100
FAB-W1117,EXPORT,CH03,6100
FAB-W1118,DOMESTIC,CH04,7100
FAB-W1119,EXPORT,CH01,9100
FAB-W1120,DOMESTIC,CH02,6100
FAB-W1121,EXPORT,CH03,7100
FAB-W1122,DOMESTIC,CH04,9100
FAB-W1123,EXPORT,CH01,6100
FAB-W1124,DOMESTIC,CH02,7100
FAB-W1125,EXPORT,CH03,9100
FAB-W1126,DOMESTIC,CH04,6100
FAB-W1127,EXPORT,CH01,7100
FAB-W1128,DOMESTIC,CH02,9100
FAB-W1129,EXPORT,CH03,6100
FAB-W1130,DOMESTIC,CH04,7100
FAB-W1131,EXPORT,CH01,9100
FAB-W1132,DOMESTIC,CH02,6100
FAB-W1133,EXPORT,CH03,7100
FAB-W1134,DOMESTIC,CH04,9100
FAB-W1135,EXPORT,CH01,6100
FAB-W1136,DOMESTIC,CH02,7100
FAB-W1137,EXPORT,CH03,9100
FAB-W1138,DOMESTIC,CH04,6100
FAB-W1139,EXPORT,CH01,7100
FAB-W1140,DOMESTIC,CH02,9100
FAB-W1141,EXPORT,CH03,6100
FAB-W1142,DOMESTIC,CH04,7100
FAB-W1143,EXPORT,CH01,9100
FAB-W1144,DOMESTIC,CH02,6100
FAB-W1145,EXPORT,CH03,7100
FAB-W1146,DOMESTIC,CH04,9100
FAB-W1147,EXPORT,CH01,6100
FAB-W1148,DOMESTIC,CH02,7100
FAB-W1149,EXPORT,CH03,9100
FAB-W1150,DOMESTIC,CH04,6100
FAB-W1151,EXPORT,CH01,7100
FAB-W1152,DOMESTIC,CH02,9100
FAB-W1153,EXPORT,CH03,6100
FAB-W1154,DOMESTIC,CH04,7100
FAB-W1155,EXPORT,CH01,9100
FAB-W1156,DOMESTIC,CH02,6100
FAB-W1157,EXPORT,CH03,7100
FAB-W1158,DOMESTIC,CH04,9100
FAB-W1159,EXPORT,CH01,6100
FAB-W1160,DOMESTIC,CH02,7100
FAB-W1161,EXPORT,CH03,9100
FAB-W1162,DOMESTIC,CH04,6100
FAB-W1163,EXPORT,CH01,7100
FAB-W1164,DOMESTIC,CH02,9100
FAB-W1165,EXPORT,CH03,6100
FAB-W1166,DOMESTIC,CH04,7100
FAB-W1167,EXPORT,CH01,9100
FAB-W1168,DOMESTIC,CH02,6100
FAB-W1169,EXPORT,CH03,7100
FAB-W1170,DOMESTIC,CH04,9100
FAB-W1171,EXPORT,CH01,6100
FAB-W1172,DOMESTIC,CH02,7100
FAB-W1173,EXPORT,CH03,9100
FAB-W1174,DOMESTIC,CH04,6100
FAB-W1175,EXPORT,CH01,7100
FAB-W1176,DOMESTIC,CH02,9100
FAB-W1177,EXPORT,CH03,6100
FAB-W1178,DOMESTIC,CH04,7100
FAB-W1179,EXPORT,CH01,9100
FAB-W1180,DOMESTIC,CH02,6100
FAB-W1181,EXPORT,CH03,7100
FAB-W1182,DOMESTIC,CH04,9100
FAB-W1183,EXPORT,CH01,6100
FAB-W1184,DOMESTIC,CH02,7100
FAB-W1185,EXPORT,CH03,9100
FAB-W1186,DOMESTIC,CH04,6100
FAB-W1187,EXPORT,CH01,7100
FAB-W1188,DOMESTIC,CH02,9100
FAB-W1189,EXPORT,CH03,6100
FAB-W1190,DOMESTIC,CH04,7100
FAB-W1191,EXPORT,CH01,9100
FAB-W1192,DOMESTIC,CH02,6100
FAB-W1193,EXPORT,CH03,7100
FAB-W1194,DOMESTIC,CH04,9100
FAB-W1195,EXPORT,CH01,6100
FAB-W1196,DOMESTIC,CH02,7100
FAB-W1197,EXPORT,CH03,9100
FAB-W1198,DOMESTIC,CH04,6100
FAB-W1199,EXPORT,CH01,7100
FAB-W1200,DOMESTIC,CH02,9100
FAB-W1201,EXPORT,CH03,6100
FAB-W1202,DOMESTIC,CH04,7100
FAB-W1203,EXPORT,CH01,9100
FAB-W1204,DOMESTIC,CH02,6100
FAB-W1205,EXPORT,CH03,7100
FAB-W1206,DOMESTIC,CH04,9100
FAB-W1207,EXPORT,CH01,6100
FAB-W1208,DOMESTIC,CH02,7100
FAB-W1209,EXPORT,CH03,9100
FAB-W1210,DOMESTIC,CH04,6100
FAB-W1211,EXPORT,CH01,7100
FAB-W1212,DOMESTIC,CH02,9100
FAB-W1213,EXPORT,CH03,6100
FAB-W1214,DOMESTIC,CH04,7100
FAB-W1215,EXPORT,CH01,9100
FAB-W1216,DOMESTIC,CH02,6100
FAB-W1217,EXPORT,CH03,7100
FAB-W1218,DOMESTIC,CH04,9100
FAB-W1219,EXPORT,CH01,6100
FAB-W1220,DOMESTIC,CH02,7100
FAB-W1221,EXPORT,CH03,9100
FAB-W1222,DOMESTIC,CH04,6100
FAB-W1223,EXPORT,CH01,7100
FAB-W1224,DOMESTIC,CH02,9100
FAB-W1225,EXPORT,CH03,6100
FAB-W1226,DOMESTIC,CH04,7100
FAB-W1227,EXPORT,CH01,9100
FAB-W1228,DOMESTIC,CH02,6100
FAB-W1229,EXPORT,CH03,7100
FAB-W1230,DOMESTIC,CH04,9100
FAB-W1231,EXPORT,CH01,6100
FAB-W1232,DOMESTIC,CH02,7100
FAB-W1233,EXPORT,CH03,9100
FAB-W1234,DOMESTIC,CH04,6100
FAB-W1235,EXPORT,CH01,7100
FAB-W1236,DOMESTIC,CH02,9100
FAB-W1237,EXPORT,CH03,6100
FAB-W1238,DOMESTIC,CH04,7100
FAB-W1239,EXPORT,CH01,9100
FAB-W1240,DOMESTIC,CH02,6100
FAB-W1241,EXPORT,CH03,7100
FAB-W1242,DOMESTIC,CH04,9100
FAB-W1243,EXPORT,CH01,6100
FAB-W1244,DOMESTIC,CH02,7100
FAB-W1245,EXPORT,CH03,9100
FAB-W1246,DOMESTIC,CH04,6100
FAB-W1247,EXPORT,CH01,7100
FAB-W1248,DOMESTIC,CH02,9100
FAB-W1249,EXPORT,CH03,6100
FAB-W1250,DOMESTIC,CH04,7100
FAB-W1251,EXPORT,CH01,9100
FAB-W1252,DOMESTIC,CH02,6100
FAB-W1253,EXPORT,CH03,7100
FAB-W1254,DOMESTIC,CH04,9100
FAB-W1255,EXPORT,CH01,6100
FAB-W1256,DOMESTIC,CH02,7100
FAB-W1257,EXPORT,CH03,9100
FAB-W1258,DOMESTIC,CH04,6100
FAB-W1259,EXPORT,CH01,7100
FAB-W1260,DOMESTIC,CH02,9100
FAB-W1261,EXPORT,CH03,6100
FAB-W1262,DOMESTIC,CH04,7100
FAB-W1263,EXPORT,CH01,9100
FAB-W1264,DOMESTIC,CH02,6100
FAB-W1265,EXPORT,CH03,7100
FAB-W1266,DOMESTIC,CH04,9100
FAB-W1267,EXPORT,CH01,6100
FAB-W1268,DOMESTIC,CH02,7100
FAB-W1269,EXPORT,CH03,9100
