fabric_code,loom_code,component_code
FAB-W0582,LC-4576,Y-GEN-1575
FAB-W0583,LC-4577,Y-GEN-1576
FAB-W0584,LC-4578,Y-GEN-1577
FAB-W0585,LC-4579,Y-GEN-1578
FAB-W0586,LC-4580,Y-GEN-1579
FAB-W0587,LC-4581,Y-GEN-1580
FAB-W0588,LC-4582,Y-GEN-1581
FAB-W0589,LC-4583,Y-GEN-1582
FAB-W0590,LC-4584,Y-GEN-1583
FAB-W0591,LC-4585,Y-GEN-1584
FAB-W0592,LC-4586,Y-GEN-1585
FAB-W0593,LC-4587,Y-GEN-1586
FAB-W0594,LC-4588,Y-GEN-1587
FAB-W0595,LC-4589,Y-GEN-1588
FAB-W0596,LC-4590,Y-GEN-1589
FAB-W0597,LC-4591,Y-GEN-1590
FAB-W0598,LC-4592,Y-GEN-1591
FAB-W0599,LC-4593,Y-GEN-1592
FAB-W0600,LC-4594,Y-GEN-1593
FAB-W0601,LC-4595,Y-GEN-1594
FAB-W0602,LC-4596,Y-GEN-1595
FAB-W0603,LC-4597,Y-GEN-1596
FAB-W0604,LC-4598,Y-GEN-1597
FAB-W0605,LC-4599,Y-GEN-1598
FAB-W0606,LC-4600,Y-GEN-1599
FAB-W0607,LC-4601,Y-GEN-1600
FAB-W0608,LC-4602,Y-GEN-1601
FAB-W0609,LC-4603,Y-GEN-1602
FAB-W0610,LC-4604,Y-GEN-1603
FAB-W0611,LC-4605,Y-GEN-1604
FAB-W0612,LC-4606,Y-GEN-1605
FAB-W0613,LC-4607,Y-GEN-1606
FAB-W0614,LC-4608,Y-GEN-1607
FAB-W0615,LC-4609,Y-GEN-1608
FAB-W0616,LC-4610,Y-GEN-1609
FAB-W0617,LC-4611,Y-GEN-1610
FAB-W0618,LC-4612,Y-GEN-1611
FAB-W0619,LC-4613,Y-GEN-1612
FAB-W0620,LC-4614,Y-GEN-1613
FAB-W0621,LC-4615,Y-GEN-1614
FAB-W0622,LC-4616,Y-GEN-1615
FAB-W0623,LC-4617,Y-GEN-1616
FAB-W0624,LC-4618,Y-GEN-1617
FAB-W0625,LC-4619,Y-GEN-1618
FAB-W0626,LC-4620,Y-GEN-1619
FAB-W0627,LC-4621,Y-GEN-1620
FAB-W0628,LC-4622,Y-GEN-1621
FAB-W0629,LC-4623,Y-GEN-1622
FAB-W0630,LC-4624,Y-GEN-1623
FAB-W0631,LC-4625,Y-GEN-1624
FAB-W0632,LC-4626,Y-GEN-1625
FAB-W0633,LC-4627,Y-GEN-1626
FAB-W0634,LC-4628,Y-GEN-1627
FAB-W0635,LC-4629,Y-GEN-1628
FAB-W0636,LC-4630,Y-GEN-1629
FAB-W0637,LC-4631,Y-GEN-1630
FAB-W0638,LC-4632,Y-GEN-1631
FAB-W0639,LC-4633,Y-GEN-1632
FAB-W0640,LC-4634,Y-GEN-1633
FAB-W0641,LC-4635,Y-GEN-1634
FAB-W0642,LC-4636,Y-GEN-1635
FAB-W0643,LC-4637,Y-GEN-1636
FAB-W0644,LC-4638,Y-GEN-1637
FAB-W0645,LC-4639,Y-GEN-1638
FAB-W0646,LC-4640,Y-GEN-1639
FAB-W0647,LC-4641,Y-GEN-1640
FAB-W0648,LC-4642,Y-GEN-1641
FAB-W0649,LC-4643,Y-GEN-1642
FAB-W0650,LC-4644,Y-GEN-1643
FAB-W0651,LC-4645,Y-GEN-1644
FAB-W0652,LC-4646,Y-GEN-1645
FAB-W0653,LC-4647,Y-GEN-1646
FAB-W0654,LC-4648,Y-GEN-1647
FAB-W0655,LC-4649,Y-GEN-1648
FAB-W0656,LC-4650,Y-GEN-1649
FAB-W0657,LC-4651,Y-GEN-1650
FAB-W0658,LC-4652,Y-GEN-1651
FAB-W0659,LC-4653,Y-GEN-1652
FAB-W0660,LC-4654,Y-GEN-1653
FAB-W0661,LC-4655,Y-GEN-1654
FAB-W0662,LC-4656,Y-GEN-1655
FAB-W0663,LC-4657,Y-GEN-1656
FAB-W0664,LC-4658,Y-GEN-1657
FAB-W0665,LC-4659,Y-GEN-1658
FAB-W0666,LC-4660,Y-GEN-1659
FAB-W0667,LC-4661,Y-GEN-1660
FAB-W0668,LC-4662,Y-GEN-1661
FAB-W0669,LC-4663,Y-GEN-1662
FAB-W0670,LC-4664,Y-GEN-1663
FAB-W0671,LC-4665,Y-GEN-1664
FAB-W0672,LC-4666,Y-GEN-1665
FAB-W0673,LC-4667,Y-GEN-1666
FAB-W0674,LC-4668,Y-GEN-1667
FAB-W0675,LC-4669,Y-GEN-1668
FAB-W0676,LC-4670,Y-GEN-1669
FAB-W0677,LC-4671,Y-GEN-1670
FAB-W0678,LC-4672,Y-GEN-1671
FAB-W0679,LC-4673,Y-GEN-1672
FAB-W0680,LC-4674,Y-GEN-1673
FAB-W0681,LC-4675,Y-GEN-1674
FAB-W0682,LC-4676,Y-GEN-1675
FAB-W0683,LC-4677,Y-GEN-1676
FAB-W0684,LC-4678,Y-GEN-1677
FAB-W0685,LC-4679,Y-GEN-1678
FAB-W0686,LC-4680,Y-GEN-1679
FAB-W0687,LC-4681,Y-GEN-1680
FAB-W0688,LC-4682,Y-GEN-1681
FAB-W0689,LC-4683,Y-GEN-1682
FAB-W0690,LC-4684,Y-GEN-1683
FAB-W0691,LC-4685,Y-GEN-1684
FAB-W0692,LC-4686,Y-GEN-1685
FAB-W0693,LC-4687,Y-GEN-1686
FAB-W0694,LC-4688,Y-GEN-1687
FAB-W0695,LC-4689,Y-GEN-1688
FAB-W0696,LC-4690,Y-GEN-1689
FAB-W0697,LC-4691,Y-GEN-1690
FAB-W0698,LC-4692,Y-GEN-1691
FAB-W0699,LC-4693,Y-GEN-1692
FAB-W0700,LC-4694,Y-GEN-1693
FAB-W0701,LC-4695,Y-GEN-1694
FAB-W0702,LC-4696,Y-GEN-1695
FAB-W0703,LC-4697,Y-GEN-1696
FAB-W0704,LC-4698,Y-GEN-1697
FAB-W0705,LC-4699,Y-GEN-1698
FAB-W0706,LC-4700,Y-GEN-1699
FAB-W0707,LC-4701,Y-GEN-1700
FAB-W0708,LC-4702,Y-GEN-1701
FAB-W0709,LC-4703,Y-GEN-1702
FAB-W0710,LC-4704,Y-GEN-1703
FAB-W0711,LC-4705,Y-GEN-1704
FAB-W0712,LC-4706,Y-GEN-1705
FAB-W0713,LC-4707,Y-GEN-1706
FAB-W0714,LC-4708,Y-GEN-1707
FAB-W0715,LC-4709,Y-GEN-1708
FAB-W0716,LC-4710,Y-GEN-1709
FAB-W0717,LC-4711,Y-GEN-1710
FAB-W0718,LC-4712,Y-GEN-1711
FAB-W0719,LC-4713,Y-GEN-1712
FAB-W0720,LC-4714,Y-GEN-1713
FAB-W0721,LC-4715,Y-GEN-1714
FAB-W0722,LC-4716,Y-GEN-1715
FAB-W0723,LC-4717,Y-GEN-1716
FAB-W0724,LC-4718,Y-GEN-1717
FAB-W0725,LC-4719,Y-GEN-1718
FAB-W0726,LC-4720,Y-GEN-1719
FAB-W0727,LC-4721,Y-GEN-1720
FAB-W0728,LC-4722,Y-GEN-1721
FAB-W0729,LC-4723,Y-GEN-1722
FAB-W0730,LC-4724,Y-GEN-1723
FAB-W0731,LC-4725,Y-GEN-1724
FAB-W0732,LC-4726,Y-GEN-1725
FAB-W0733,LC-4727,Y-GEN-1726
FAB-W0734,LC-4728,Y-GEN-1727
FAB-W0735,LC-4729,Y-GEN-1728
FAB-W0736,LC-4730,Y-GEN-1729
FAB-W0737,LC-4731,Y-GEN-1730
FAB-W0738,LC-4732,Y-GEN-1731
FAB-W0739,LC-4733,Y-GEN-1732
FAB-W0740,LC-4734,Y-GEN-1733
FAB-W0741,LC-4735,Y-GEN-1734
FAB-W0742,LC-4736,Y-GEN-1735
FAB-W0743,LC-4737,Y-GEN-1736
FAB-W0744,LC-4738,Y-GEN-1737
FAB-W0745,LC-4739,Y-GEN-1738
FAB-W0746,LC-4740,Y-GEN-1739
FAB-W0747,LC-4741,Y-GEN-1740
FAB-W0748,LC-4742,Y-GEN-1741
FAB-W0749,LC-4743,Y-GEN-1742
FAB-W0750,LC-4744,Y-GEN-1743
FAB-W0751,LC-4745,Y-GEN-1744
FAB-W0752,LC-4746,Y-GEN-1745
FAB-W0753,LC-4747,Y-GEN-1746
FAB-W0754,LC-4748,Y-GEN-1747
FAB-W0755,LC-4749,Y-GEN-1748
FAB-W0756,LC-4750,Y-GEN-1749
FAB-W0757,LC-4751,Y-GEN-1750
FAB-W0758,LC-4752,Y-GEN-1751
FAB-W0759,LC-4753,Y-GEN-1752
FAB-W0760,LC-4754,Y-GEN-1753
FAB-W0761,LC-4755,Y-GEN-1754
FAB-W0762,LC-4756,Y-GEN-1755
FAB-W0763,LC-4757,Y-GEN-1756
FAB-W0764,LC-4758,Y-GEN-1757
FAB-W0765,LC-4759,Y-GEN-1758
FAB-W0766,LC-4760,Y-GEN-1759
FAB-W0767,LC-4761,Y-GEN-1760
FAB-W0768,LC-4762,Y-GEN-1761
FAB-W0769,LC-4763,Y-GEN-1762
FAB-W0770,LC-4764,Y-GEN-1763
FAB-W0771,LC-4765,Y-GEN-1764
FAB-W0772,LC-4766,Y-GEN-1765
FAB-W0773,LC-4767,Y-GEN-1766
FAB-W0774,LC-4768,Y-GEN-1767
FAB-W0775,LC-4769,Y-GEN-1768
FAB-W0776,LC-4770,Y-GEN-1769
FAB-W0777,LC-4771,Y-GEN-1770
FAB-W0778,LC-4772,Y-GEN-1771
FAB-W0779,LC-4773,Y-GEN-1772
FAB-W0780,LC-4774,Y-GEN-1773
FAB-W0781,LC-4775,Y-GEN-1774
FAB-W0782,LC-4776,Y-GEN-1775
FAB-W0783,LC-4777,Y-GEN-1776
FAB-W0784,LC-4778,Y-GEN-1777
FAB-W0785,LC-4779,Y-GEN-1778
FAB-W0786,LC-4780,Y-GEN-1779
FAB-W0787,LC-4781,Y-GEN-1780
FAB-W0788,LC-4782,Y-GEN-1781
FAB-W0789,LC-4783,Y-GEN-1782
FAB-W0790,LC-4784,Y-GEN-1783
FAB-W0791,LC-4785,Y-GEN-1784
FAB-W0792,LC-4786,Y-GEN-1785
FAB-W0793,LC-4787,Y-GEN-1786
FAB-W0794,LC-4788,Y-GEN-1787
FAB-W0795,LC-4789,Y-GEN-1788
FAB-W0796,LC-4790,Y-GEN-1789
FAB-W0797,LC-4791,Y-GEN-1790
FAB-W0798,LC-4792,Y-GEN-1791
FAB-W0799,LC-4793,Y-GEN-1792
FAB-W0800,LC-4794,Y-GEN-1793
FAB-W0801,LC-4795,Y-GEN-1794
FAB-W0802,LC-4796,Y-GEN-1795
FAB-W0803,LC-4797,Y-GEN-1796
FAB-W0804,LC-4798,Y-GEN-1797
FAB-W0805,LC-4799,Y-GEN-1798
FAB-W0806,LC-4800,Y-GEN-1799
FAB-W0807,LC-4801,Y-GEN-1800
FAB-W0808,LC-4802,Y-GEN-1801
FAB-W0809,LC-4803,Y-GEN-1802
FAB-W0810,LC-4804,Y-GEN-1803
FAB-W0811,LC-4805,Y-GEN-1804
FAB-W0812,LC-4806,Y-GEN-1805
FAB-W0813,LC-4807,Y-GEN-1806
FAB-W0814,LC-4808,Y-GEN-1807
FAB-W0815,LC-4809,Y-GEN-1808
FAB-W0816,LC-4810,Y-GEN-1809
FAB-W0817,LC-4811,Y-GEN-1810
FAB-W0818,LC-4812,Y-GEN-1811
FAB-W0819,LC-4813,Y-GEN-1812
FAB-W0820,LC-4814,Y-GEN-1813
FAB-W0821,LC-4815,Y-GEN-1814
FAB-W0822,LC-4816,Y-GEN-1815
FAB-W0823,LC-4817,Y-GEN-1816
FAB-W0824,LC-4818,Y-GEN-1817
FAB-W0825,LC-4819,Y-GEN-1818
FAB-W0826,LC-4820,Y-GEN-1819
FAB-W0827,LC-4821,Y-GEN-1820
FAB-W0828,LC-4822,Y-GEN-1821
FAB-W0829,LC-4823,Y-GEN-1822
FAB-W0830,LC-4824,Y-GEN-1823
FAB-W0831,LC-4825,Y-GEN-1824
FAB-W0832,LC-4826,Y-GEN-1825
FAB-W0833,LC-4827,Y-GEN-1826
FAB-W0834,LC-4828,Y-GEN-1827
FAB-W0835,LC-4829,Y-GEN-1828
FAB-W0836,LC-4830,Y-GEN-1829
FAB-W0837,LC-4831,Y-GEN-1830
FAB-W0838,LC-4832,Y-GEN-1831
FAB-W0839,LC-4833,Y-GEN-1832
FAB-W0840,LC-4834,Y-GEN-1833
FAB-W0841,LC-4835,Y-GEN-1834
FAB-W0842,LC-4836,Y-GEN-1835
FAB-W0843,LC-4837,Y-GEN-1836
FAB-W0844,LC-4838,Y-GEN-1837
FAB-W0845,LC-4839,Y-GEN-1838
FAB-W0846,LC-4840,Y-GEN-1839
FAB-W0847,LC-4841,Y-GEN-1840
FAB-W0848,LC-4842,Y-GEN-1841
FAB-W0849,LC-4843,Y-GEN-1842
FAB-W0850,LC-4844,Y-GEN-1843
FAB-W0851,LC-4845,Y-GEN-1844
FAB-W0852,LC-4846,Y-GEN-1845
FAB-W0853,LC-4847,Y-GEN-1846
FAB-W0854,LC-4848,Y-GEN-1847
FAB-W0855,LC-4849,Y-GEN-1848
FAB-W0856,LC-4850,Y-GEN-1849
FAB-W0857,LC-4851,Y-GEN-1850
FAB-W0858,LC-4852,Y-GEN-1851
FAB-W0859,LC-4853,Y-GEN-1852
FAB-W0860,LC-4854,Y-GEN-1853
FAB-W0861,LC-4855,Y-GEN-1854
FAB-W0862,LC-4856,Y-GEN-1855
FAB-W0863,LC-4857,Y-GEN-1856
FAB-W0864,LC-4858,Y-GEN-1857
FAB-W0865,LC-4859,Y-GEN-1858
FAB-W0866,LC-4860,Y-GEN-1859
FAB-W0867,LC-4861,Y-GEN-1860
FAB-W0868,LC-4862,Y-GEN-1861
FAB-W0869,LC-4863,Y-GEN-1862
FAB-W0870,LC-4864,Y-GEN-1863
FAB-W0871,LC-4865,Y-GEN-1864
FAB-W0872,LC-4866,Y-GEN-1865
FAB-W0873,LC-4867,Y-GEN-1866
FAB-W0874,LC-4868,Y-GEN-1867
FAB-W0875,LC-4869,Y-GEN-1868
FAB-W0876,LC-4870,Y-GEN-1869
FAB-W0877,LC-4871,Y-GEN-1870
FAB-W0878,LC-4872,Y-GEN-1871
FAB-W0879,LC-4873,Y-GEN-1872
FAB-W0880,LC-4874,Y-GEN-1873
FAB-W0881,LC-4875,Y-GEN-1874
FAB-W0882,LC-4876,Y-GEN-1875
FAB-W0883,LC-4877,Y-GEN-1876
FAB-W0884,LC-4878,Y-GEN-1877
FAB-W0885,LC-4879,Y-GEN-1878
FAB-W0886,LC-4880,Y-GEN-1879
FAB-W0887,LC-4881,Y-GEN-1880
FAB-W0888,LC-4882,Y-GEN-1881
FAB-W0889,LC-4883,Y-GEN-1882
FAB-W0890,LC-4884,Y-GEN-1883
FAB-W0891,LC-4885,Y-GEN-1884
FAB-W0892,LC-4886,Y-GEN-1885
FAB-W0893,LC-4887,Y-GEN-1886
FAB-W0894,LC-4888,Y-GEN-1887
FAB-W0895,LC-4889,Y-GEN-1888
FAB-W0896,LC-4890,Y-GEN-1889
FAB-W0897,LC-4891,Y-GEN-1890
FAB-W0898,LC-4892,Y-GEN-1891
FAB-W0899,LC-4893,Y-GEN-1892
FAB-W0900,LC-4894,Y-GEN-1893
FAB-W0901,LC-4895,Y-GEN-1894
FAB-W0902,LC-4896,Y-GEN-1895
FAB-W0903,LC-4897,Y-GEN-1896
FAB-W0904,LC-4898,Y-GEN-1897
FAB-W0905,LC-4899,Y-GEN-1898
FAB-W0906,LC-4900,Y-GEN-1899
FAB-W0907,LC-4901,Y-GEN-1900
FAB-W0908,LC-4902,Y-GEN-1901
FAB-W0909,LC-4903,Y-GEN-1902
FAB-W0910,LC-4904,Y-GEN-1903
FAB-W0911,LC-4905,Y-GEN-1904
FAB-W0912,LC-4906,Y-GEN-1905
FAB-W0913,LC-4907,Y-GEN-1906
FAB-W0914,LC-4908,Y-GEN-1907
FAB-W0915,LC-4909,Y-GEN-1908
FAB-W0916,LC-4910,Y-GEN-1909
FAB-W0917,LC-4911,Y-GEN-1910
FAB-W0918,LC-4912,Y-GEN-1911
FAB-W0919,LC-4913,Y-GEN-1912
FAB-W0920,LC-4914,Y-GEN-1913
FAB-W0921,LC-4915,Y-GEN-1914
FAB-W0922,LC-4916,Y-GEN-1915
FAB-W0923,LC-4917,Y-GEN-1916
FAB-W0924,LC-4918,Y-GEN-1917
FAB-W0925,LC-4919,Y-GEN-1918
FAB-W0926,LC-4920,Y-GEN-1919
FAB-W0927,LC-4921,Y-GEN-1920
FAB-W0928,LC-4922,Y-GEN-1921
FAB-W0929,LC-4923,Y-GEN-1922
FAB-W0930,LC-4924,Y-GEN-1923
FAB-W0931,LC-4925,Y-GEN-1924
FAB-W0932,LC-4926,Y-GEN-1925
FAB-W0933,LC-4927,Y-GEN-1926
FAB-W0934,LC-4928,Y-GEN-1927
FAB-W0935,LC-4929,Y-GEN-1928
FAB-W0936,LC-4930,Y-GEN-1929
FAB-W0937,LC-4931,Y-GEN-1930
FAB-W0938,LC-4932,Y-GEN-1931
FAB-W0939,LC-4933,Y-GEN-1932
FAB-W0940,LC-4934,Y-GEN-1933
FAB-W0941,LC-4935,Y-GEN-1934
FAB-W0942,LC-4936,Y-GEN-1935
FAB-W0943,LC-4937,Y-GEN-1936
FAB-W0944,LC-4938,Y-GEN-1937
FAB-W0945,LC-4939,Y-GEN-1938
FAB-W0946,LC-4940,Y-GEN-1939
FAB-W0947,LC-4941,Y-GEN-1940
FAB-W0948,LC-4942,Y-GEN-1941
FAB-W0949,LC-4943,Y-GEN-1942
FAB-W0950,LC-4944,Y-GEN-1943
FAB-W0951,LC-4945,Y-GEN-1944
FAB-W0952,LC-4946,Y-GEN-1945
FAB-W0953,LC-4947,Y-GEN-1946
FAB-W0954,LC-4948,Y-GEN-1947
FAB-W0955,LC-4949,Y-GEN-1948
FAB-W0956,LC-4950,Y-GEN-1949
FAB-W0957,LC-4951,Y-GEN-1950
FAB-W0958,LC-4952,Y-GEN-1951
FAB-W0959,LC-4953,Y-GEN-1952
FAB-W0960,LC-4954,Y-GEN-1953
FAB-W0961,LC-4955,Y-GEN-1954
FAB-W0962,LC-4956,Y-GEN-1955
FAB-W0963,LC-4957,Y-GEN-1956
FAB-W0964,LC-4958,Y-GEN-1957
FAB-W0965,LC-4959,Y-GEN-1958
FAB-W0966,LC-4960,Y-GEN-1959
FAB-W0967,LC-4961,Y-GEN-1960
FAB-W0968,LC-4962,Y-GEN-1961
FAB-W0969,LC-4963,Y-GEN-1962
FAB-W0970,LC-4964,Y-GEN-1963
FAB-W0971,LC-4965,Y-GEN-1964
FAB-W0972,LC-4966,Y-GEN-1965
FAB-W0973,LC-4967,Y-GEN-1966
FAB-W0974,LC-4968,Y-GEN-1967
FAB-W0975,LC-4969,Y-GEN-1968
FAB-W0976,LC-4970,Y-GEN-1969
FAB-W0977,LC-4971,Y-GEN-1970
FAB-W0978,LC-4972,Y-GEN-1971
FAB-W0979,LC-4973,Y-GEN-1972
FAB-W0980,LC-4974,Y-GEN-1973
FAB-W0981,LC-4975,Y-GEN-1974
FAB-W0982,LC-4976,Y-GEN-1975
FAB-W0983,LC-4977,Y-GEN-1976
FAB-W0984,LC-4978,Y-GEN-1977
FAB-W0985,LC-4979,Y-GEN-1978
FAB-W0986,LC-4980,Y-GEN-1979
FAB-W0987,LC-4981,Y-GEN-1980
FAB-W0988,LC-4982,Y-GEN-1981
FAB-W0989,LC-4983,Y-GEN-1982
FAB-W0990,LC-4984,Y-GEN-1983
FAB-W0991,LC-4985,Y-GEN-1984
FAB-W0992,LC-4986,Y-GEN-1985
FAB-W0993,LC-4987,Y-GEN-1986
FAB-W0994,LC-4988,Y-GEN-1987
FAB-W0995,LC-4989,Y-GEN-1988
FAB-W0996,LC-4990,Y-GEN-1989
FAB-W0997,LC-4991,Y-GEN-1990
FAB-W0998,LC-4992,Y-GEN-1991
FAB-W0999,LC-4993,Y-GEN-1992
FAB-W1000,LC-4994,Y-GEN-1993
FAB-W1001,LC-4995,Y-GEN-1994
FAB-W1002,LC-4996,Y-GEN-1995
FAB-W1003,LC-4997,Y-GEN-1996
FAB-W1004,LC-4998,Y-GEN-1997
FAB-W1005,LC-4999,Y-GEN-1998
FAB-W1006,LC-5000,Y-GEN-1999
FAB-W1007,LC-5001,Y-GEN-2000
FAB-W1008,LC-5002,Y-GEN-2001
FAB-W1009,LC-5003,Y-GEN-2002
FAB-W1010,LC-5004,Y-GEN-2003
FAB-W1011,LC-5005,Y-GEN-2004
FAB-W1012,LC-5006,Y-GEN-2005
FAB-W1013,LC-5007,Y-GEN-2006
FAB-W1014,LC-5008,Y-GEN-2007
FAB-W1015,LC-5009,Y-GEN-2008
FAB-W1016,LC-5010,Y-GEN-2009
FAB-W1017,LC-5011,Y-GEN-2010
FAB-W1018,LC-5012,Y-GEN-2011
FAB-W1019,LC-5013,Y-GEN-2012
FAB-W1020,LC-5014,Y-GEN-2013
FAB-W1021,LC-5015,Y-GEN-2014
FAB-W1022,LC-5016,Y-GEN-2015
FAB-W1023,LC-5017,Y-GEN-2016
FAB-W1024,LC-5018,Y-GEN-2017
FAB-W1025,LC-5019,Y-GEN-2018
FAB-W1026,LC-5020,Y-GEN-2019
FAB-W1027,LC-5021,Y-GEN-2020
FAB-W1028,LC-5022,Y-GEN-2021
FAB-W1029,LC-5023,Y-GEN-2022
FAB-W1030,LC-5024,Y-GEN-2023
FAB-W1031,LC-5025,Y-GEN-2024
FAB-W1032,LC-5026,Y-GEN-2025
FAB-W1033,LC-5027,Y-GEN-2026
FAB-W1034,LC-5028,Y-GEN-2027
FAB-W1035,LC-5029,Y-GEN-2028
FAB-W1036,LC-5030,Y-GEN-2029
FAB-W1037,LC-5031,Y-GEN-2030
FAB-W1038,LC-5032,Y-GEN-2031
FAB-W1039,LC-5033,Y-GEN-2032
FAB-W1040,LC-5034,Y-GEN-2033
FAB-W1041,LC-5035,Y-GEN-2034
FAB-W1042,LC-5036,Y-GEN-2035
FAB-W1043,LC-5037,Y-GEN-2036
FAB-W1044,LC-5038,Y-GEN-2037
FAB-W1045,LC-5039,Y-GEN-2038
FAB-W1046,LC-5040,Y-GEN-2039
FAB-W1047,LC-5041,Y-GEN-2040
FAB-W1048,LC-5042,Y-GEN-2041
FAB-W1049,LC-5043,Y-GEN-2042
FAB-W1050,LC-5044,Y-GEN-2043
FAB-W1051,LC-5045,Y-GEN-2044
FAB-W1052,LC-5046,Y-GEN-2045
FAB-W1053,LC-5047,Y-GEN-2046
FAB-W1054,LC-5048,Y-GEN-2047
FAB-W1055,LC-5049,Y-GEN-2048
FAB-W1056,LC-5050,Y-GEN-2049
FAB-W1057,LC-5051,Y-GEN-2050
FAB-W1058,LC-5052,Y-GEN-2051
FAB-W1059,LC-5053,Y-GEN-2052
FAB-W1060,LC-5054,Y-GEN-2053
FAB-W1061,LC-5055,Y-GEN-2054
FAB-W1062,LC-5056,Y-GEN-2055
FAB-W1063,LC-5057,Y-GEN-2056
FAB-W1064,LC-5058,Y-GEN-2057
FAB-W1065,LC-5059,Y-GEN-2058
FAB-W1066,LC-5060,Y-GEN-2059
FAB-W1067,LC-5061,Y-GEN-2060
FAB-W1068,LC-5062,Y-GEN-2061
FAB-W1069,LC-5063,Y-GEN-2062
FAB-W1070,LC-5064,Y-GEN-2063
FAB-W1071,LC-5065,Y-GEN-2064
FAB-W1072,LC-5066,Y-GEN-2065
FAB-W1073,LC-5067,Y-GEN-2066
FAB-W1074,LC-5068,Y-GEN-2067
FAB-W1075,LC-5069,Y-GEN-2068
FAB-W1076,LC-5070,Y-GEN-2069
FAB-W1077,LC-5071,Y-GEN-2070
FAB-W1078,LC-5072,Y-GEN-2071
FAB-W1079,LC-5073,Y-GEN-2072
FAB-W1080,LC-5074,Y-GEN-2073
FAB-W1081,LC-5075,Y-GEN-2074
FAB-W1082,LC-5076,Y-GEN-2075
FAB-W1083,LC-5077,Y-GEN-2076
FAB-W1084,LC-5078,Y-GEN-2077
FAB-W1085,LC-5079,Y-GEN-2078
FAB-W1086,LC-5080,Y-GEN-2079
FAB-W1087,LC-5081,Y-GEN-2080
FAB-W1088,LC-5082,Y-GEN-2081
FAB-W1089,LC-5083,Y-GEN-2082
FAB-W1090,LC-5084,Y-GEN-2083
FAB-W1091,LC-5085,Y-GEN-2084
FAB-W1092,LC-5086,Y-GEN-2085
FAB-W1093,LC-5087,Y-GEN-2086
FAB-W1094,LC-5088,Y-GEN-2087
FAB-W1095,LC-5089,Y-GEN-2088
FAB-W1096,LC-5090,Y-GEN-2089
FAB-W1097,LC-5091,Y-GEN-2090
FAB-W1098,LC-5092,Y-GEN-2091
FAB-W1099,LC-5093,Y-GEN-2092
FAB-W1100,LC-5094,Y-GEN-2093
FAB-W1101,LC-5095,Y-GEN-2094
FAB-W1102,LC-5096,Y-GEN-2095
FAB-W1103,LC-5097,Y-GEN-2096
FAB-W1104,LC-5098,Y-GEN-2097
FAB-W1105,LC-5099,Y-GEN-2098
FAB-W1106,LC-5100,Y-GEN-2099
FAB-W1107,LC-5101,Y-GEN-2100
FAB-W1108,LC-5102,Y-GEN-2101
FAB-W1109,LC-5103,Y-GEN-2102
FAB-W1110,LC-5104,Y-GEN-2103
FAB-W1111,LC-5105,Y-GEN-2104
FAB-W1112,LC-5106,Y-GEN-2105
FAB-W1113,LC-5107,Y-GEN-2106
FAB-W1114,LC-5108,Y-GEN-2107
FAB-W1115,LC-5109,Y-GEN-2108
FAB-W1116,LC-5110,Y-GEN-2109
FAB-W1117,LC-5111,Y-GEN-2110
FAB-W1118,LC-5112,Y-GEN-2111
FAB-W1119,LC-5113,Y-GEN-2112
FAB-W1120,LC-5114,Y-GEN-2113
FAB-W1121,LC-5115,Y-GEN-2114
FAB-W1122,LC-5116,Y-GEN-2115
FAB-W1123,LC-5117,Y-GEN-2116
FAB-W1124,LC-5118,Y-GEN-2117
FAB-W1125,LC-5119,Y-GEN-2118
FAB-W1126,LC-5120,Y-GEN-2119
FAB-W1127,LC-5121,Y-GEN-2120
FAB-W1128,LC-5122,Y-GEN-2121
FAB-W1129,LC-5123,Y-GEN-2122
FAB-W1130,LC-5124,Y-GEN-2123
FAB-W1131,LC-5125,Y-GEN-2124
FAB-W1132,LC-5126,Y-GEN-2125
FAB-W1133,LC-5127,Y-GEN-2126
FAB-W1134,LC-5128,Y-GEN-2127
FAB-W1135,LC-5129,Y-GEN-2128
FAB-W1136,LC-5130,Y-GEN-2129
FAB-W1137,LC-5131,Y-GEN-2130
FAB-W1138,LC-5132,Y-GEN-2131
FAB-W1139,LC-5133,Y-GEN-2132
FAB-W1140,LC-5134,Y-GEN-2133
FAB-W1141,LC-5135,Y-GEN-2134
FAB-W1142,LC-5136,Y-GEN-2135
FAB-W1143,LC-5137,Y-GEN-2136
FAB-W1144,LC-5138,Y-GEN-2137
FAB-W1145,LC-5139,Y-GEN-2138
FAB-W1146,LC-5140,Y-GEN-2139
FAB-W1147,LC-5141,Y-GEN-2140
FAB-W1148,LC-5142,Y-GEN-2141
FAB-W1149,LC-5143,Y-GEN-2142
FAB-W1150,LC-5144,Y-GEN-2143
FAB-W1151,LC-5145,Y-GEN-2144
FAB-W1152,LC-5146,Y-GEN-2145
FAB-W1153,LC-5147,Y-GEN-2146
FAB-W1154,LC-5148,Y-GEN-2147
FAB-W1155,LC-5149,Y-GEN-2148
FAB-W1156,LC-5150,Y-GEN-2149
FAB-W1157,LC-5151,Y-GEN-2150
FAB-W1158,LC-5152,Y-GEN-2151
FAB-W1159,LC-5153,Y-GEN-2152
FAB-W1160,LC-5154,Y-GEN-2153
FAB-W1161,LC-5155,Y-GEN-2154
FAB-W1162,LC-5156,Y-GEN-2155
FAB-W1163,LC-5157,Y-GEN-2156
